Date,Open,High,Low,Close,Volume,Market Cap.,Trade Value,Institutional Vo.,ETC Vo.,Individual Vo.,Foreign Vo.,BPS,PER,PBR,EPS,DIV,DPS,Short Selling Vo.,Balance Amount,Short Selling Trade Value,Balance Value,Sum
2016-07-01,0.269,0.264,0.244,0.243,0.0458,0.26,0.237,0.111,0.143,0.117,0.268,0.316,0.26,0.271,0.158,0.21,0.333,0.116,0.362,0.163,0.108,4.4988
2016-07-04,0.263,0.283,0.321,0.257,0.123,0.249,0.23,0.0423,0.167,0.0275,0.368,0.337,0.278,0.275,0.179,0.172,0.349,0.251,0.319,0.179,0.00227,4.67207
2016-07-05,0.236,0.273,0.257,0.21,0.195,0.249,0.278,0.0254,0.119,0.144,0.219,0.331,0.27,0.301,0.172,0.207,0.357,0.242,0.349,0.183,0.0117,4.6291
2016-07-06,0.229,0.316,0.226,0.316,0.14,0.244,0.19,0.147,0.132,0.291,0.144,0.326,0.284,0.326,0.168,0.232,0.36,0.0743,0.394,0.121,0.00314,4.66344
2016-07-07,0.244,0.259,0.225,0.265,0.145,0.328,0.268,0.0968,0.142,0.119,0.195,0.327,0.283,0.307,0.169,0.233,0.341,0.277,0.39,0.183,0.0087,4.8055
2016-07-08,0.243,0.26,0.239,0.291,0.178,0.28,0.234,0.163,0.151,0.073,0.231,0.331,0.273,0.312,0.172,0.23,0.357,0.312,0.361,0.215,0.0145,4.9205
2016-07-11,0.217,0.285,0.231,0.315,0.0407,0.267,0.22,0.336,0.139,0.0325,0.269,0.326,0.28,0.298,0.168,0.191,0.36,0.191,0.316,0.169,0.0197,4.6709
2016-07-12,0.216,0.267,0.244,0.29,0.146,0.28,0.27,0.127,0.121,0.0695,0.232,0.327,0.279,0.278,0.169,0.192,0.341,0.178,0.326,0.138,0.00819,4.49869
2016-07-13,0.31,0.273,0.251,0.274,0.108,0.264,0.254,0.144,0.17,0.0983,0.403,0.331,0.268,0.284,0.172,0.183,0.357,0.215,0.307,0.17,0.0248,4.8611
2016-07-14,0.299,0.32,0.309,0.328,0.158,0.31,0.283,0.125,0.186,0.0029,0.301,0.326,0.276,0.276,0.168,0.162,0.36,0.215,0.311,0.179,0.0115,4.9064
