Date,Close,Volume,Institutional Vo.,Individual Vo.,Foreign Vo.
1999-01-06,1.19E-01,1.96E-01,3.09E-02,1.32E-02,2.04E-01
1999-01-07,5.98E-02,7.28E-02,5.06E-02,1.22E-01,4.27E-02
1999-01-08,6.64E-02,1.77E-02,4.30E-02,3.87E-02,5.48E-02
1999-01-11,1.04E-01,1.83E-02,4.13E-02,1.06E-02,1.53E-01
1999-01-12,1.10E-01,4.20E-03,4.43E-02,1.12E-01,1.34E-01
1999-01-13,9.57E-02,1.95E-01,3.22E-02,3.65E-02,1.92E-01
1999-01-14,4.47E-02,1.13E-01,4.47E-02,1.20E-01,2.82E-02
1999-01-15,8.42E-02,4.29E-02,4.73E-02,2.90E-02,5.91E-02
1999-01-18,9.64E-02,2.54E-02,4.99E-02,1.02E-02,1.54E-01
1999-01-19,1.04E-01,6.04E-03,4.62E-02,1.17E-01,1.35E-01
1999-01-20,8.56E-02,1.86E-01,3.43E-02,3.95E-02,1.80E-01
1999-01-21,8.83E-03,1.10E-01,4.46E-02,1.18E-01,1.86E-02
1999-01-22,8.55E-02,4.47E-02,4.24E-02,1.96E-02,5.35E-02
1999-01-25,1.19E-01,1.84E-02,4.11E-02,1.96E-02,1.44E-01
1999-01-26,1.26E-01,3.19E-03,4.36E-02,1.15E-01,1.33E-01
1999-01-27,1.26E-01,1.91E-01,3.53E-02,4.32E-02,1.89E-01
1999-01-28,2.74E-02,1.13E-01,4.53E-02,1.25E-01,2.14E-02
1999-01-29,7.16E-02,4.57E-02,4.34E-02,2.11E-02,5.88E-02
1999-02-01,9.81E-02,2.22E-02,4.88E-02,1.44E-02,1.52E-01
1999-02-02,1.18E-01,4.57E-03,4.87E-02,1.18E-01,1.28E-01
1999-02-03,9.28E-02,1.71E-01,4.22E-02,3.93E-02,1.80E-01
1999-02-04,8.46E-03,8.27E-02,4.85E-02,1.29E-01,1.70E-02
1999-02-05,6.10E-02,3.20E-02,4.18E-02,1.72E-02,5.71E-02
1999-02-08,1.09E-01,1.49E-02,4.06E-02,2.17E-02,1.46E-01
1999-02-09,1.48E-01,5.67E-04,4.34E-02,1.16E-01,1.33E-01
1999-02-10,1.24E-01,1.55E-01,3.39E-02,5.67E-02,1.86E-01
1999-02-11,2.16E-02,4.26E-02,4.48E-02,1.32E-01,1.43E-02
1999-02-12,3.12E-02,1.24E-02,4.26E-02,1.48E-02,5.91E-02
1999-02-18,8.95E-02,9.50E-03,4.13E-02,2.35E-02,1.50E-01
1999-02-19,1.13E-01,2.00E-03,4.32E-02,1.17E-01,1.37E-01
1999-02-22,1.16E-01,1.57E-01,3.35E-02,5.77E-02,1.87E-01
1999-02-23,8.98E-03,4.56E-02,4.43E-02,1.32E-01,1.20E-02
1999-02-24,5.96E-02,1.37E-02,4.22E-02,1.45E-02,5.98E-02
1999-02-25,1.12E-01,1.03E-02,4.02E-02,2.46E-02,1.52E-01
1999-02-26,1.06E-01,4.56E-04,4.75E-02,1.15E-01,1.36E-01
1999-03-02,1.29E-01,1.88E-01,3.17E-02,4.58E-02,1.84E-01
1999-03-03,9.40E-03,1.11E-01,4.40E-02,1.23E-01,2.21E-02
1999-03-04,8.72E-02,4.38E-02,4.27E-02,1.93E-02,5.77E-02
1999-03-05,1.05E-01,1.73E-02,4.05E-02,2.12E-02,1.48E-01
1999-03-08,1.08E-01,2.33E-03,4.30E-02,1.18E-01,1.31E-01
1999-03-09,1.18E-01,1.81E-01,3.21E-02,4.88E-02,1.86E-01
1999-03-10,2.22E-02,9.35E-02,4.38E-02,1.26E-01,1.82E-02
1999-03-11,8.05E-02,3.70E-02,4.13E-02,1.72E-02,5.75E-02
1999-03-12,1.07E-01,1.66E-02,4.18E-02,2.13E-02,1.49E-01
1999-03-15,1.06E-01,1.73E-03,4.65E-02,1.15E-01,1.34E-01
1999-03-16,9.48E-02,1.70E-01,3.26E-02,5.05E-02,1.83E-01
1999-03-17,8.83E-03,7.40E-02,5.67E-02,1.39E-01,1.55E-02
1999-03-18,7.64E-02,2.75E-02,4.20E-02,1.70E-02,5.85E-02
1999-03-19,1.08E-01,1.43E-02,4.02E-02,2.28E-02,1.48E-01
1999-03-22,1.18E-01,5.17E-04,4.71E-02,1.13E-01,1.34E-01
1999-03-23,1.24E-01,1.87E-01,3.26E-02,4.64E-02,1.85E-01
1999-03-24,7.93E-03,1.07E-01,4.56E-02,1.25E-01,1.79E-02
1999-03-25,8.46E-02,4.38E-02,4.77E-02,2.35E-02,5.71E-02
1999-03-26,1.03E-01,1.74E-02,4.31E-02,1.94E-02,1.49E-01
1999-03-29,1.24E-01,1.55E-03,4.43E-02,1.17E-01,1.34E-01
1999-03-30,1.58E-01,1.95E-01,4.44E-02,2.66E-02,1.92E-01
1999-03-31,3.51E-02,1.20E-01,5.88E-02,1.33E-01,2.24E-02
