날짜,종가,거래량,기관합계,개인,외국인합계
1999-01-06,354601,1048060,28270.0,841250.0,-869520.0
1999-01-07,407517,3325700,-1242610.0,2322640.0,-1080030.0
1999-01-08,369720,1105840,-66980.0,336250.0,-269270.0
1999-01-11,364909,1321090,-53250.0,419310.0,-366060.0
1999-01-12,364222,777710,-56680.0,205950.0,-149270.0
1999-01-13,355976,542830,32910.0,139710.0,-172620.0
1999-01-14,316117,780130,8350.0,303140.0,-311490.0
1999-01-15,338108,3363430,-1014030.0,1238530.0,-224500.0
1999-01-18,346355,6213280,-1958460.0,2199890.0,-241430.0
1999-01-19,347042,3171330,-540460.0,447680.0,92780.0
1999-01-20,348416,2297460,-553330.0,314370.0,238960.0
1999-01-21,329862,1123620,-24410.0,-102510.0,126920.0
1999-01-22,322989,1060410,-19130.0,-154970.0,174100.0
1999-01-25,314743,754580,-133330.0,39870.0,93460.0
1999-01-26,316117,1341580,-46810.0,130840.0,-84030.0
1999-01-27,324364,2742650,-517880.0,447580.0,70300.0
1999-01-28,319553,1197530,-146620.0,151950.0,-5330.0
1999-01-29,335359,1514440,-165770.0,180050.0,-14280.0
1999-02-01,333985,4406520,-1708360.0,1688360.0,20000.0
1999-02-02,327113,3911220,-1126920.0,425320.0,701600.0
1999-02-03,327113,5370200,-2143560.0,2038670.0,104890.0
1999-02-04,327113,2607350,-882890.0,882240.0,650.0
1999-02-05,320241,1109770,127170.0,-139100.0,11930.0
1999-02-08,307871,961200,-29620.0,26210.0,3410.0
1999-02-09,288629,1186800,-70600.0,112620.0,-42020.0
1999-02-10,290003,823900,-81420.0,99490.0,-18070.0
1999-02-11,291378,540280,-79480.0,75500.0,3980.0
1999-02-12,316117,1137410,-6610.0,-7830.0,14440.0
1999-02-18,310620,888160,-135870.0,47300.0,88570.0
1999-02-19,306496,959890,-37380.0,66090.0,-28710.0
1999-02-22,298250,494550,53990.0,-42980.0,-11010.0
1999-02-23,302373,738630,21400.0,-203250.0,181850.0
1999-02-24,298250,578790,91270.0,-91570.0,300.0
1999-02-25,296875,531510,122530.0,-122530.0,0.0
1999-02-26,313368,3287510,-964940.0,861190.0,103750.0
1999-03-02,313368,1386850,115040.0,-116580.0,1540.0
1999-03-03,324364,2839490,103560.0,104650.0,-208210.0
1999-03-04,316117,1055580,-74790.0,97640.0,-22850.0
1999-03-05,318866,973340,21180.0,12020.0,-33200.0
1999-03-08,324364,1784040,68920.0,-237300.0,168380.0
1999-03-09,316117,904190,146110.0,-101510.0,-44600.0
1999-03-10,310620,627940,141110.0,-139640.0,-1470.0
1999-03-11,313368,1666180,248150.0,-295110.0,46960.0
1999-03-12,314743,853550,-260460.0,256980.0,3480.0
1999-03-15,324364,2243090,-704650.0,615250.0,89400.0
1999-03-16,322302,695470,21350.0,-45190.0,23840.0
1999-03-17,311307,5795380,-2683310.0,2629830.0,53480.0
1999-03-18,303747,944410,101720.0,-69940.0,-31780.0
1999-03-19,306496,1092380,72330.0,-66600.0,-5730.0
1999-03-22,309245,2130990,-872480.0,860330.0,12150.0
1999-03-23,316117,1060010,-31720.0,47900.0,-16180.0
1999-03-24,324364,1719370,-239030.0,178470.0,60560.0
1999-03-25,316117,4377110,-1155970.0,1107130.0,48840.0
1999-03-26,319553,1248040,-542940.0,548830.0,-5890.0
1999-03-29,312681,828680,-215460.0,203310.0,12150.0
1999-03-30,314743,6623700,-2554150.0,2550220.0,3930.0
1999-03-31,325738,9548060,-3062940.0,2929950.0,132990.0
1999-04-01,364222,9049310,-2399090.0,2393210.0,5880.0
