Date,Open,High,Low,Close,Volume,Market Cap.,Trade Value,Institutional Vo.,ETC Vo.,Individual Vo.,Foreign Vo.,BPS,PER,PBR,EPS,DIV,DPS,Short Selling Vo.,Balance Amount,Short Selling Trade Value,Balance Value
2016-07-01,31800,32700,31600,32150,5289586,2.34E+13,1.71E+11,-214854,19678,-172061,367237,29377,5.36,1.09,6002,1.56,500,261586,2213905,8443315950,71177045750
2016-07-04,32250,32900,32050,32750,3192033,2.38E+13,1.04E+11,-472909,-6429,-827181,1306519,29377,5.46,1.11,6002,1.53,500,112669,2141972,3678679100,70149583000
2016-07-05,32650,32650,31850,31850,2577231,2.32E+13,82885527300,-660935,66205,402555,192175,29377,5.31,1.08,6002,1.57,500,115632,2202082,3712343200,70136311700
2016-07-06,31100,31350,30300,30600,6314347,2.23E+13,1.94E+11,-1450918,-3236,1722731,-268577,29377,5.1,1.04,6002,1.63,500,329900,2375264,10118639200,72683078400
2016-07-07,30750,31350,30600,30650,2715183,2.23E+13,83744992950,17481,-22584,108508,-103405,29377,5.11,1.04,6002,1.63,500,66612,2361041,2052784750,72365906650
2016-07-08,30700,31250,30550,31050,2424460,2.26E+13,75074603300,35131,-1939,-339787,306595,29377,5.17,1.06,6002,1.61,500,24370,2240856,750873900,69578578800
2016-07-11,31750,32300,31650,32000,3938161,2.33E+13,1.26E+11,787588,7075,-1382593,587930,29377,5.33,1.09,6002,1.56,500,177715,2127749,5696110300,68087968000
2016-07-12,32250,32300,31550,32000,2523664,2.33E+13,80545225000,-51459,19001,-134094,166552,29377,5.33,1.09,6002,1.56,500,195960,2155304,6250567350,68969728000
2016-07-13,32700,32950,32450,32650,3779418,2.38E+13,1.24E+11,257190,-20481,-1836424,1599715,29377,5.44,1.11,6002,1.53,500,151236,2067783,4956510250,67513114950
2016-07-14,32500,33300,32450,33050,3145494,2.41E+13,1.04E+11,103162,-25470,-974572,896880,29377,5.51,1.13,6002,1.51,500,145193,2109925,4777013550,69733021250
2016-07-15,33300,33500,32650,32700,2580255,2.38E+13,85187937750,-448498,-9693,-191188,649379,29377,5.45,1.11,6002,1.53,500,133780,2169085,4421644900,70929079500
